timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753342391536,624,HTTP Request,201,Created,add_to_cart 3-1,text,true,,773,1599,32,56,"https://dummyjson.com/carts/add?=1,1689,Charger%20SXT%20RWD,vehicle,30000.99,Dodge,57,Not%20worth%20the%20price!",624,0,499
1753342391750,415,HTTP Request,201,Created,add_to_cart 3-12,text,true,,774,1601,31,55,"https://dummyjson.com/carts/add?=12,1686,Charger%20SXT%20RWD,vehicle,30004.99,Dodge,57,Not%20worth%20the%20price!",415,0,294
1753342391651,519,HTTP Request,201,Created,add_to_cart 3-7,text,true,,773,1599,31,54,"https://dummyjson.com/carts/add?=7,1688,Charger%20SXT%20RWD,vehicle,32999.99,Dodge,57,Not%20worth%20the%20price!",519,0,402
1753342391710,468,HTTP Request,201,Created,add_to_cart 3-10,text,true,,774,1601,30,54,"https://dummyjson.com/carts/add?=10,1684,Charger%20SXT%20RWD,vehicle,30002.99,Dodge,57,Not%20worth%20the%20price!",467,0,338
1753342391631,555,HTTP Request,201,Created,add_to_cart 3-6,text,true,,773,1599,29,53,"https://dummyjson.com/carts/add?=6,1687,Charger%20SXT%20RWD,vehicle,30005.99,Dodge,57,Not%20worth%20the%20price!",554,0,418
1753342391773,416,HTTP Request,201,Created,add_to_cart 3-13,text,true,,774,1601,29,52,"https://dummyjson.com/carts/add?=13,1687,Charger%20SXT%20RWD,vehicle,30005.99,Dodge,57,Not%20worth%20the%20price!",416,0,300
1753342391570,620,HTTP Request,201,Created,add_to_cart 3-3,text,true,,773,1599,29,52,"https://dummyjson.com/carts/add?=3,1684,Charger%20SXT%20RWD,vehicle,30002.99,Dodge,57,Not%20worth%20the%20price!",620,0,498
1753342391550,652,HTTP Request,201,Created,add_to_cart 3-2,text,true,,773,1599,27,48,"https://dummyjson.com/carts/add?=2,1683,Charger%20SXT%20RWD,vehicle,30001.99,Dodge,57,Not%20worth%20the%20price!",652,0,520
1753342391611,602,HTTP Request,201,Created,add_to_cart 3-5,text,true,,773,1599,27,46,"https://dummyjson.com/carts/add?=5,1686,Charger%20SXT%20RWD,vehicle,30004.99,Dodge,57,Not%20worth%20the%20price!",602,0,475
1753342391791,429,HTTP Request,201,Created,add_to_cart 3-14,text,true,,774,1601,26,44,"https://dummyjson.com/carts/add?=14,1688,Charger%20SXT%20RWD,vehicle,32999.99,Dodge,57,Not%20worth%20the%20price!",429,0,305
1753342391670,553,HTTP Request,201,Created,add_to_cart 3-8,text,true,,773,1599,25,41,"https://dummyjson.com/carts/add?=8,1689,Charger%20SXT%20RWD,vehicle,30000.99,Dodge,57,Not%20worth%20the%20price!",553,0,432
1753342391592,634,HTTP Request,201,Created,add_to_cart 3-4,text,true,,773,1599,24,40,"https://dummyjson.com/carts/add?=4,1685,Charger%20SXT%20RWD,vehicle,30003.99,Dodge,57,Not%20worth%20the%20price!",633,0,520
1753342391849,387,HTTP Request,201,Created,add_to_cart 3-17,text,true,,774,1601,24,40,"https://dummyjson.com/carts/add?=17,1683,Charger%20SXT%20RWD,vehicle,30001.99,Dodge,57,Not%20worth%20the%20price!",387,0,278
1753342391879,357,HTTP Request,201,Created,add_to_cart 3-18,text,true,,774,1601,24,40,"https://dummyjson.com/carts/add?=18,1684,Charger%20SXT%20RWD,vehicle,30002.99,Dodge,57,Not%20worth%20the%20price!",357,0,250
1753342391705,533,HTTP Request,201,Created,add_to_cart 3-9,text,true,,773,1599,22,38,"https://dummyjson.com/carts/add?=9,1683,Charger%20SXT%20RWD,vehicle,30001.99,Dodge,57,Not%20worth%20the%20price!",533,0,405
1753342391729,519,HTTP Request,201,Created,add_to_cart 3-11,text,true,,774,1601,22,37,"https://dummyjson.com/carts/add?=11,1685,Charger%20SXT%20RWD,vehicle,30003.99,Dodge,57,Not%20worth%20the%20price!",519,0,394
1753342391810,439,HTTP Request,201,Created,add_to_cart 3-15,text,true,,774,1601,22,37,"https://dummyjson.com/carts/add?=15,1689,Charger%20SXT%20RWD,vehicle,30000.99,Dodge,57,Not%20worth%20the%20price!",439,0,326
1753342391828,445,HTTP Request,201,Created,add_to_cart 3-16,text,true,,774,1601,21,35,"https://dummyjson.com/carts/add?=16,1689,Charger%20SXT%20RWD,vehicle,30000.99,Dodge,57,Not%20worth%20the%20price!",445,0,316
1753342391892,400,HTTP Request,201,Created,add_to_cart 3-19,text,true,,774,1601,21,35,"https://dummyjson.com/carts/add?=19,1685,Charger%20SXT%20RWD,vehicle,30003.99,Dodge,57,Not%20worth%20the%20price!",400,0,279
1753342391929,393,HTTP Request,201,Created,add_to_cart 3-21,text,true,,774,1601,21,35,"https://dummyjson.com/carts/add?=21,1687,Charger%20SXT%20RWD,vehicle,30005.99,Dodge,57,Not%20worth%20the%20price!",393,0,286
1753342391949,415,HTTP Request,201,Created,add_to_cart 3-22,text,true,,774,1601,22,36,"https://dummyjson.com/carts/add?=22,1688,Charger%20SXT%20RWD,vehicle,32999.99,Dodge,57,Not%20worth%20the%20price!",415,0,306
1753342391989,399,HTTP Request,201,Created,add_to_cart 3-24,text,true,,774,1601,23,37,"https://dummyjson.com/carts/add?=24,1683,Charger%20SXT%20RWD,vehicle,30001.99,Dodge,57,Not%20worth%20the%20price!",399,0,276
1753342391969,427,HTTP Request,201,Created,add_to_cart 3-23,text,true,,774,1601,22,36,"https://dummyjson.com/carts/add?=23,1689,Charger%20SXT%20RWD,vehicle,30000.99,Dodge,57,Not%20worth%20the%20price!",427,0,296
